name,handedness,height,weight,avg,HR,count,value,avg_mean,avg_HR,avg_handedness
Roy Smalley,B,73,185,0.257,163,1,379,,,
Tony Chevez,R,71,177,0,0,1,380,,,
Andy Messersmith,R,73,200,0.17,5,1,381,,,
Richie Zisk,R,73,200,0.287,207,1,382,,,
Dave Chalk,R,70,175,0.252,15,1,383,,,
Don Baylor,R,73,190,0.26,338,1,384,,,
John Vukovich,R,73,187,0.161,6,1,385,,,
Danny Thompson,R,72,183,0.248,15,1,386,,,
Joe Simpson,L,75,175,0.242,9,1,387,,,
Bill Fahey,L,72,200,0.241,7,1,388,,,
Doug Camilli,R,71,195,0.199,18,1,389,,,
Bernie Allen,L,72,175,0.239,73,1,390,,,
Bruce Bochy,R,75,205,0.239,26,1,391,,,
Gary Ignasiak,R,71,185,0,0,1,392,,,
Claudell Washington,L,72,190,0.278,164,1,393,,,
John Donaldson,L,71,160,0.238,4,1,394,,,
Mike Smithson,L,80,215,0,0,1,395,,,
John Mayberry,L,75,215,0.253,255,1,396,,,
Ken Reitz,R,72,180,0.26,68,1,397,,,
Amos Otis,R,71,165,0.277,193,1,398,,,
Gene Alley,R,70,160,0.254,55,1,399,,,
Ted Sizemore,R,70,165,0.262,23,1,400,,,
Dan Briggs,L,72,180,0.195,12,1,401,,,
Joe Skalski,R,75,190,0,0,1,402,,,
Doug Flynn,R,71,165,0.238,7,1,403,,,
Bert Bradley,B,73,190,0,0,1,404,,,
Ken Holtzman,R,74,175,0.163,2,1,405,,,
Pete Ward,L,73,185,0.254,98,1,406,,,
Kevin Bell,R,72,195,0.222,13,1,407,,,
Tom Nieto,R,73,193,0.205,5,1,408,,,
Duke Sims,L,74,197,0.239,100,1,409,,,
Larvell Blanks,R,68,167,0.253,20,1,410,,,
Francisco Barrios,R,71,155,0,0,1,411,,,
Mike Davis,L,74,175,0.259,91,1,412,,,
Jerry Reuss,L,77,200,0.167,1,1,413,,,
Steve Yeager,R,72,190,0.228,102,1,414,,,
Danny Goodwin,L,73,195,0.236,13,1,415,,,
Bud Harrelson,B,71,160,0.236,7,1,416,,,
Bob Knepper,L,75,195,0.137,6,1,417,,,
Mickey Rivers,L,70,165,0.295,61,1,418,,,
Jim Northrup,L,75,190,0.267,153,1,419,,,
John Hale,L,74,195,0.201,14,1,420,,,
Reggie Ritter,L,74,195,0,0,1,421,,,
Pedro Garcia,R,70,175,0.22,37,1,422,,,
Carl Yastrzemski,L,71,175,0.285,452,1,423,,,
Bob Babcock,R,77,210,0,0,1,424,,,
Craig Eaton,R,71,175,0,0,1,425,,,
Derrel Thomas,B,72,160,0.249,43,1,426,,,
Art Howe,R,74,190,0.26,43,1,427,,,
Ike Brown,R,72,190,0.256,20,1,428,,,
Howie Goss,R,76,204,0.216,11,1,429,,,
Glenn Borgmann,R,76,210,0.229,16,1,430,,,
Lamar Johnson,R,74,215,0.287,64,1,431,,,
Julio Gonzalez,R,71,162,0.235,4,1,432,,,
Bobby Klaus,R,70,170,0.208,6,1,433,,,
Manny Sanguillen,R,72,193,0.296,65,1,434,,,
Gates Brown,L,71,220,0.257,84,1,435,,,
Johnny Ray,B,71,170,0.29,53,1,436,,,
Jesus Alou,R,74,190,0.28,32,1,437,,,
Ken Landreaux,L,70,165,0.268,91,1,438,,,
Enos Cabell,R,76,170,0.277,60,1,439,,,
Roy Branch,R,72,175,0,0,1,440,,,
Billy North,B,71,185,0.261,20,1,441,,,
Juan Beniquez,R,71,150,0.274,79,1,442,,,
Frank Fernandez,R,72,185,0.199,39,1,443,,,
Bombo Rivera,R,70,187,0.265,10,1,444,,,
Steve Brye,R,72,190,0.258,30,1,445,,,
Ron Jackson,R,72,200,0.259,56,1,446,,,
Roger Metzger,B,72,165,0.231,5,1,447,,,
Rufino Linares,R,72,170,0.27,11,1,448,,,
Ray Webster,L,72,185,0.244,17,1,449,,,
Bob Kearney,R,72,190,0.233,27,1,450,,,
Fergie Jenkins,R,77,205,0.165,13,1,451,,,
Dick Dietz,R,73,195,0.261,66,1,452,,,
Ted Cox,R,75,195,0.245,10,1,453,,,
Bobby Mitchell,L,70,170,0.243,3,1,454,,,
Bobby Mitchell,R,75,185,0.235,21,1,455,,,
Barry Evans,R,73,180,0.251,2,1,456,,,
Mickey Brantley,R,70,180,0.259,32,1,457,,,
Al Gallagher,R,72,180,0.263,11,1,458,,,
Rob Woodward,R,75,185,0,0,1,459,,,
Hector Cruz,R,71,170,0.225,39,1,460,,,
Fred Norman,B,68,155,0.125,0,1,461,,,
Woody Woodward,R,74,180,0.236,1,1,462,,,
Ted Martinez,R,72,165,0.24,7,1,463,,,
Jim Anderson,R,72,170,0.218,13,1,464,,,
Lenn Sakata,R,69,160,0.23,25,1,465,,,
Dave Duncan,R,74,190,0.214,109,1,466,,,
Randy Jones,R,72,178,0.132,0,1,467,,,
Dick Billings,R,73,195,0.227,16,1,468,,,
Bob Veselic,R,72,175,0,0,1,469,,,
Bruce Bochte,L,75,195,0.282,100,1,470,,,
Bernie Carbo,L,71,173,0.264,96,1,471,,,
Vic Davalillo,L,67,150,0.279,36,1,472,,,
Burt Hooton,R,73,210,0.123,4,1,473,,,
Chuck Hockenbery,B,73,195,0,0,1,474,,,
Bob Ferris,R,78,225,0,0,1,475,,,
Fernando Gonzalez,R,70,165,0.235,17,1,476,,,
Jim Sundberg,R,72,190,0.248,95,1,477,,,
Andy Kosco,R,75,205,0.236,73,1,478,,,
Steve Huntz,B,73,204,0.206,16,1,479,,,
Gary Wheelock,R,75,205,0,0,1,480,,,
Lenny Faedo,R,72,170,0.251,5,1,481,,,
John Lowenstein,L,72,175,0.253,116,1,482,,,
Don Kessinger,B,73,170,0.252,14,1,483,,,
Joe Hague,L,72,195,0.239,40,1,484,,,
Bake McBride,L,74,190,0.299,63,1,485,,,
